time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
4.934713,0.020215,0.025809,-0.008007
4.964724,0.021320,0.031225,-0.013223
4.994736,0.022465,-0.001818,-0.013832
5.024748,0.023585,-0.038107,-0.011312
5.074766,0.025788,-0.037985,-0.018751
5.094772,0.026841,-0.025155,-0.020639
5.124782,0.027920,-0.031547,-0.020756
5.164799,0.023492,-0.023262,-0.005720
5.194811,0.022335,0.009765,-0.004047
5.234827,0.018033,0.043906,-0.006611
5.264834,0.018057,0.030032,-0.005804
5.294822,0.018008,0.022473,0.000436
5.324862,0.018019,0.018209,0.000358
5.354856,0.019152,0.025804,-0.008008
5.394887,0.023413,0.017280,-0.007097
5.424886,0.027734,0.002423,-0.010557
5.464899,0.055482,0.048731,-0.032001
5.484922,0.097659,0.027069,0.003805
5.544945,0.080067,-0.085748,-0.016380
5.574941,0.047352,-0.117679,-0.030834
5.604967,0.025465,-0.118244,-0.071280
5.634979,0.029318,-0.213567,-0.113449
5.664990,0.000386,-0.202281,-0.093069
5.695002,0.021488,-0.059917,0.091437
5.725014,-0.168359,0.151967,-0.089906
5.765029,-0.211903,0.330016,-0.030302
5.785034,-0.191886,0.313818,-0.010373
5.825053,-0.135513,0.330840,0.081463
5.875052,-0.245606,0.178361,-0.025701
5.895080,-0.184482,0.147974,0.029107
5.925078,-0.125937,0.120583,0.025478
5.965078,-0.132736,0.085084,-0.027294
5.995116,-0.139090,0.101760,0.067653
6.035132,-0.111086,0.094940,0.033529
6.065143,-0.127760,0.097024,0.102672
6.095155,-0.214590,0.087414,0.075807
6.135172,-0.246701,0.056346,0.003945
6.185176,-0.251216,-0.002453,-0.058827
6.205197,-0.104343,-0.008725,0.122013
6.235208,-0.044765,-0.056925,0.226472
6.265220,-0.149056,-0.161162,-0.038247
6.305231,-0.227223,-0.019649,-0.113353
6.335231,-0.277833,0.076517,-0.071223
6.365259,-0.111321,0.073650,-0.040242
6.395252,-0.271247,0.012029,-0.177689
6.435284,-0.385302,0.022304,-0.045765
6.465297,-0.403073,-0.139984,-0.038151
6.505301,-0.526266,-0.213223,-0.029015
6.535299,-0.636286,-0.136018,-0.092585
6.565328,-0.678394,-0.063791,0.055456
6.595327,-0.839184,-0.072082,-0.011881
6.625350,-0.775462,-0.074593,-0.108627
6.655356,-1.140391,0.030006,-0.089040
6.695385,-1.440498,0.135360,-0.170390
6.745403,-2.179174,0.281569,0.013301
6.775415,-2.213106,-0.445115,-0.036331
6.805425,-1.998844,-0.196431,-0.053816
6.835438,-1.857593,-0.331739,-0.016805
6.865448,-1.811703,-0.379383,-0.025077
6.905451,-1.972933,0.163122,-0.271524
6.925472,-1.502841,0.298809,-0.138728
6.965488,-1.103061,0.058565,0.294371
6.995498,-0.993877,-0.080742,-0.052633
7.035511,-0.706139,-0.078624,-0.030989
7.065514,-0.663230,0.000883,0.014132
7.095512,-0.891790,-0.174293,-0.039355
7.125545,-0.969671,-0.114309,-0.224439
7.165540,-0.575904,-0.128507,-0.076424
7.195542,-0.436673,-0.204205,0.038253
7.245561,0.023258,-0.030198,-0.183443
7.255563,0.052279,-0.066592,-0.307442
7.295602,0.202532,0.028620,-0.066232
7.335618,0.493146,-0.055283,0.003806
7.365630,0.886230,-0.146418,0.233346
